Dossier_ID,OBJECTID,Dossier_Status,Domein,Soort,Waarneming,Actie,Materiaal_Vast,Opmerkingen_admin,Opmerkingen,Melder_Naam,Melder_Klant,Planning_Datum,X,Y,Gemeente,Aard_Locatie,GBIF_Code,Dossier_Link,Dossier_Link_ID,Hoofddossier_ID,Aangemaakt_Datum,Laatst_Bewerkt_Datum,Datum_Van,Geometrie_Type
"26724","105132",Verwerkt en afgesloten,Dier,Muskusrat,,,,,,,Andere,,101588.05105728,216582.15387947,Sint-Laureins,Publiek,"5219858",,,"-1",2021/10/12 06:44:16,2022/04/05 13:14:57,2021/10/12 06:44:16,Point
"26729","4145",Opvolging,Dier,Muskusrat,"Haard vastgesteld = 0; ",,"Fuik (aantal) = 1; ",,,,Andere,2021/10/19 07:40:47,129260.17400181,192397.36661377,Dendermonde,Publiek,"5219858",,,"-1",2021/10/12 07:40:26,2021/10/12 07:41:02,2021/10/12 07:40:26,Point
"26730","6305",Verwerkt en afgesloten,Dier,Muskusrat,,,,,,,Andere,,129258.51508079,192376.93533268,Dendermonde,Publiek,"5219858",,,"-1",2021/10/12 07:40:38,2021/10/14 12:14:35,2021/10/12 07:40:38,Point
"26731","6306",Verwerkt en afgesloten,Dier,Muskusrat,,,,,,,Andere,,129255.09537672,192377.66091127,Dendermonde,Publiek,"5219858",,,"-1",2021/10/12 07:42:56,2021/10/14 12:15:44,2021/10/12 07:42:56,Point
"26732","4152",Opvolging,Dier,Muskusrat,"Haard vastgesteld = 0; ",,"Fuik (aantal) = 1; ",,,,Andere,2021/10/19 07:44:41,129255.37569116,192377.60417309,Dendermonde,Publiek,"5219858",,,"-1",2021/10/12 07:44:19,2021/10/12 07:45:03,2021/10/12 07:44:19,Point
"26734","22447",Verwerkt en afgesloten,Plant,Grote Waterteunisbloem ,"Vastgesteld (in m²) = 30; ",,,,"hoi Stijn, je mag dit dossier afronden (status wijzigen) ",,Gemeente,,115631.26311141,206639.14499191,Wachtebeke,Privaat,"5421039",,,"-1",2021/10/12 07:59:40,2021/11/18 07:23:08,2021/10/12 07:59:40,Point
"26738","8112",Opvolging,Dier,Muskusrat,,,"Conibearklem (aantal) = 6; ",,,,,2021/10/26 07:20:10,107051.78473887,215256.03651228,Assenede,Publiek,"5219858",,,"-1",2021/10/12 09:31:07,2021/10/19 07:21:28,2021/10/12 09:31:07,Point
"26739","25718",Opvolging,Dier,Muskusrat,"Haard vastgesteld = 0; ",,"Fuik (aantal) = 1; ",,,,,2021/11/30 08:30:00,129270.16070366,192278.84599025,Dendermonde,Publiek,"5219858",,,"-1",2021/10/12 10:07:23,2021/11/23 08:30:02,2021/10/12 10:07:23,Point
"26744","8189",Opvolging,Dier,Muskusrat,,"Vangst (aantal) = 1; ","Conibearklem (aantal) = 1; ",,,,Andere,2021/10/26 08:15:48,103335.21484077,217919.85963354,Assenede,Publiek,"5219858",,,"-1",2021/10/12 11:49:31,2021/10/19 08:15:56,2021/10/12 11:49:31,Point
"26754","97808",Opvolging,Werken,Roosters/kleppen,,"structureel probleem = 1; ",,"27r1, extra na vloed ","27r1, extra na vloed ",,,2022/04/05 10:23:49,146930.55220055,207961.15339492,Kruibeke,Publiek,"0",,,"-1",2021/10/13 09:07:40,2022/03/22 10:24:21,2021/10/13 09:07:40,Point
"26755","29400",Opvolging,Werken,Roosters/kleppen,,"enkel controle = 1; ",,,1r1,,Provincie,2021/12/29 12:46:12,125388.09976448,178526.45387438,Aalst,Publiek,"0",,,"-1",2021/10/13 09:23:19,2021/11/29 12:46:20,2021/10/13 09:23:19,Point
