"Dossier_ID","Gemeente","X","Y","OBJECTID","GlobalID","Laatst_Bewerkt_Datum","p_field","p_key","p_value"
336330000,"Deinze",86976.57881505,185451.76160058,1880,"4A938193-A146-4D59-B0CD-4C5DDC734CC8",2022-07-08 08:49:16.000000,"p_waarneming","",
336330000,"Deinze",86976.57881505,185451.76160058,1880,"4A938193-A146-4D59-B0CD-4C5DDC734CC8",2022-07-08 08:49:16.000000,"p_actie","Advies verleend",1
336330000,"Deinze",86976.57881505,185451.76160058,1880,"4A938193-A146-4D59-B0CD-4C5DDC734CC8",2022-07-08 08:49:16.000000,"p_actie","",
343330000,"Eeklo",94858.55881036,208154.65158428,2043,"DBE16E6B-8581-4B08-8045-2F984E5D0173",2022-08-02 13:53:14.000000,"p_waarneming","Vastgesteld",1
343330000,"Eeklo",94858.55881036,208154.65158428,2043,"DBE16E6B-8581-4B08-8045-2F984E5D0173",2022-08-02 13:53:14.000000,"p_waarneming","",
343330000,"Eeklo",94858.55881036,208154.65158428,2043,"DBE16E6B-8581-4B08-8045-2F984E5D0173",2022-08-02 13:53:14.000000,"p_actie","Advies verleend",1
343330000,"Eeklo",94858.55881036,208154.65158428,2043,"DBE16E6B-8581-4B08-8045-2F984E5D0173",2022-08-02 13:53:14.000000,"p_actie","",
343390000,"Eeklo",94858.55881036,208154.65158428,2044,"5412C9AF-BBE0-4655-966D-B2183D67B281",2022-08-02 13:53:55.000000,"p_waarneming","Vastgesteld",1
343390000,"Eeklo",94858.55881036,208154.65158428,2044,"5412C9AF-BBE0-4655-966D-B2183D67B281",2022-08-02 13:53:55.000000,"p_waarneming","",
343390000,"Eeklo",94858.55881036,208154.65158428,2044,"5412C9AF-BBE0-4655-966D-B2183D67B281",2022-08-02 13:53:55.000000,"p_actie","Advies verleend",1
343390000,"Eeklo",94858.55881036,208154.65158428,2044,"5412C9AF-BBE0-4655-966D-B2183D67B281",2022-08-02 13:53:55.000000,"p_actie","",
351830000,"Kruisem",100217.91880145,176417.17160886,2591,"73510C69-89A4-4B77-BF03-BD6A69B82DB2",2022-09-08 13:01:42.000000,"p_waarneming","Vastgesteld",1
351830000,"Kruisem",100217.91880145,176417.17160886,2591,"73510C69-89A4-4B77-BF03-BD6A69B82DB2",2022-09-08 13:01:42.000000,"p_waarneming","",
